indicator,drug_type,lhn,financial_year,year_start,count,mean_bed_days,group_by,sex,age_group,indigenous_status,seifa_quintile,remoteness,population,rate_per_100k,rate_lcl,rate_ucl
Alcohol and other drug-related hospitalisations,Cannabinoids,Yorke and Northern LHN,2024-25,2024,3,3.67,SEIFA quintile,Persons,All ages,All,Q4,All,15733,19.1,0.0,40.7
Alcohol and other drug-related hospitalisations,Cannabinoids,Yorke and Northern LHN,2024-25,2024,7,1.57,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,15733,44.5,11.5,77.5
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2020-21,2020,2,1.0,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,33000,6.1,0.0,14.5
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2020-21,2020,1,1.0,SEIFA quintile,Persons,All ages,All,Q2,All,33000,3.0,0.0,8.9
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2020-21,2020,3,1.0,SEIFA quintile,Persons,All ages,All,Q3,All,33000,9.1,0.0,19.4
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2020-21,2020,1,1.0,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,33000,3.0,0.0,8.9
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2021-22,2021,5,1.6,SEIFA quintile,Persons,All ages,All,Q2,All,33396,15.0,1.9,28.1
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2021-22,2021,6,1.67,SEIFA quintile,Persons,All ages,All,Q3,All,33396,18.0,3.6,32.4
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2021-22,2021,2,1.0,SEIFA quintile,Persons,All ages,All,Q4,All,33396,6.0,0.0,14.3
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2021-22,2021,3,1.33,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,33396,9.0,0.0,19.2
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2022-23,2022,2,1.0,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,33796,5.9,0.0,14.1
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2022-23,2022,2,1.0,SEIFA quintile,Persons,All ages,All,Q2,All,33796,5.9,0.0,14.1
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2022-23,2022,4,1.5,SEIFA quintile,Persons,All ages,All,Q3,All,33796,11.8,0.2,23.4
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2022-23,2022,2,1.0,SEIFA quintile,Persons,All ages,All,Q4,All,33796,5.9,0.0,14.1
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2022-23,2022,2,2.0,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,33796,5.9,0.0,14.1
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2023-24,2023,2,1.5,SEIFA quintile,Persons,All ages,All,Q2,All,34202,5.8,0.0,13.9
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2023-24,2023,3,1.0,SEIFA quintile,Persons,All ages,All,Q3,All,34202,8.8,0.0,18.7
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2023-24,2023,2,1.0,SEIFA quintile,Persons,All ages,All,Q4,All,34202,5.8,0.0,13.9
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2023-24,2023,3,1.0,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,34202,8.8,0.0,18.7
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2024-25,2024,5,1.4,SEIFA quintile,Persons,All ages,All,Q2,All,34612,14.4,1.7,27.1
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2024-25,2024,3,2.33,SEIFA quintile,Persons,All ages,All,Q3,All,34612,8.7,0.0,18.5
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2024-25,2024,2,1.0,SEIFA quintile,Persons,All ages,All,Q4,All,34612,5.8,0.0,13.8
Alcohol and other drug-related hospitalisations,Hallucinogens,Barossa Hills Fleurieu LHN,2024-25,2024,1,1.0,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,34612,2.9,0.0,8.6
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2020-21,2020,6,1.83,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,98000,6.1,1.2,11.0
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2020-21,2020,11,3.55,SEIFA quintile,Persons,All ages,All,Q2,All,98000,11.2,4.6,17.8
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2020-21,2020,14,1.36,SEIFA quintile,Persons,All ages,All,Q3,All,98000,14.3,6.8,21.8
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2020-21,2020,6,1.17,SEIFA quintile,Persons,All ages,All,Q4,All,98000,6.1,1.2,11.0
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2020-21,2020,10,1.2,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,98000,10.2,3.9,16.5
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2021-22,2021,4,2.25,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,99176,4.0,0.0,8.0
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2021-22,2021,8,1.75,SEIFA quintile,Persons,All ages,All,Q2,All,99176,8.1,2.5,13.7
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2021-22,2021,14,1.71,SEIFA quintile,Persons,All ages,All,Q3,All,99176,14.1,6.7,21.5
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2021-22,2021,3,1.0,SEIFA quintile,Persons,All ages,All,Q4,All,99176,3.0,0.0,6.4
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2021-22,2021,6,1.0,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,99176,6.0,1.2,10.8
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2022-23,2022,5,1.6,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,100366,5.0,0.6,9.4
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2022-23,2022,9,1.22,SEIFA quintile,Persons,All ages,All,Q2,All,100366,9.0,3.1,14.9
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2022-23,2022,13,1.23,SEIFA quintile,Persons,All ages,All,Q3,All,100366,13.0,6.0,20.0
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2022-23,2022,11,1.36,SEIFA quintile,Persons,All ages,All,Q4,All,100366,11.0,4.5,17.5
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2022-23,2022,6,1.0,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,100366,6.0,1.2,10.8
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2023-24,2023,1,1.0,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,101570,1.0,0.0,2.9
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2023-24,2023,9,1.56,SEIFA quintile,Persons,All ages,All,Q2,All,101570,8.9,3.1,14.7
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2023-24,2023,16,1.19,SEIFA quintile,Persons,All ages,All,Q3,All,101570,15.8,8.1,23.5
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2023-24,2023,6,1.83,SEIFA quintile,Persons,All ages,All,Q4,All,101570,5.9,1.2,10.6
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2023-24,2023,11,1.45,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,101570,10.8,4.4,17.2
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2024-25,2024,1,1.0,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,102789,1.0,0.0,2.9
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2024-25,2024,12,1.25,SEIFA quintile,Persons,All ages,All,Q2,All,102789,11.7,5.1,18.3
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2024-25,2024,14,1.36,SEIFA quintile,Persons,All ages,All,Q3,All,102789,13.6,6.5,20.7
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2024-25,2024,10,1.2,SEIFA quintile,Persons,All ages,All,Q4,All,102789,9.7,3.7,15.7
Alcohol and other drug-related hospitalisations,Hallucinogens,Central Adelaide LHN,2024-25,2024,9,1.56,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,102789,8.8,3.1,14.5
Alcohol and other drug-related hospitalisations,Hallucinogens,Eyre and Far North LHN,2020-21,2020,2,1.0,SEIFA quintile,Persons,All ages,All,Q2,All,11000,18.2,0.0,43.4
Alcohol and other drug-related hospitalisations,Hallucinogens,Eyre and Far North LHN,2020-21,2020,1,1.0,SEIFA quintile,Persons,All ages,All,Q3,All,11000,9.1,0.0,26.9
Alcohol and other drug-related hospitalisations,Hallucinogens,Eyre and Far North LHN,2020-21,2020,2,1.0,SEIFA quintile,Persons,All ages,All,Q4,All,11000,18.2,0.0,43.4
Alcohol and other drug-related hospitalisations,Hallucinogens,Eyre and Far North LHN,2020-21,2020,2,1.0,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,11000,18.2,0.0,43.4
Alcohol and other drug-related hospitalisations,Hallucinogens,Eyre and Far North LHN,2021-22,2021,2,2.5,SEIFA quintile,Persons,All ages,All,Q2,All,11132,18.0,0.0,42.9
Alcohol and other drug-related hospitalisations,Hallucinogens,Eyre and Far North LHN,2021-22,2021,1,1.0,SEIFA quintile,Persons,All ages,All,Q3,All,11132,9.0,0.0,26.6
Alcohol and other drug-related hospitalisations,Hallucinogens,Eyre and Far North LHN,2021-22,2021,1,2.0,SEIFA quintile,Persons,All ages,All,Q4,All,11132,9.0,0.0,26.6
Alcohol and other drug-related hospitalisations,Hallucinogens,Eyre and Far North LHN,2021-22,2021,1,1.0,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,11132,9.0,0.0,26.6
Alcohol and other drug-related hospitalisations,Hallucinogens,Eyre and Far North LHN,2022-23,2022,2,1.0,SEIFA quintile,Persons,All ages,All,Q2,All,11265,17.8,0.0,42.4
Alcohol and other drug-related hospitalisations,Hallucinogens,Eyre and Far North LHN,2022-23,2022,1,1.0,SEIFA quintile,Persons,All ages,All,Q4,All,11265,8.9,0.0,26.3
Alcohol and other drug-related hospitalisations,Hallucinogens,Eyre and Far North LHN,2022-23,2022,1,1.0,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,11265,8.9,0.0,26.3
Alcohol and other drug-related hospitalisations,Hallucinogens,Eyre and Far North LHN,2023-24,2023,2,1.0,SEIFA quintile,Persons,All ages,All,Q2,All,11400,17.5,0.0,41.8
Alcohol and other drug-related hospitalisations,Hallucinogens,Eyre and Far North LHN,2023-24,2023,2,3.5,SEIFA quintile,Persons,All ages,All,Q3,All,11400,17.5,0.0,41.8
Alcohol and other drug-related hospitalisations,Hallucinogens,Eyre and Far North LHN,2023-24,2023,1,1.0,SEIFA quintile,Persons,All ages,All,Q4,All,11400,8.8,0.0,26.0
Alcohol and other drug-related hospitalisations,Hallucinogens,Eyre and Far North LHN,2023-24,2023,2,4.0,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,11400,17.5,0.0,41.8
Alcohol and other drug-related hospitalisations,Hallucinogens,Eyre and Far North LHN,2024-25,2024,2,2.5,SEIFA quintile,Persons,All ages,All,Q2,All,11537,17.3,0.0,41.3
Alcohol and other drug-related hospitalisations,Hallucinogens,Eyre and Far North LHN,2024-25,2024,1,1.0,SEIFA quintile,Persons,All ages,All,Q3,All,11537,8.7,0.0,25.7
Alcohol and other drug-related hospitalisations,Hallucinogens,Eyre and Far North LHN,2024-25,2024,1,1.0,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,11537,8.7,0.0,25.7
Alcohol and other drug-related hospitalisations,Hallucinogens,Flinders and Upper North LHN,2020-21,2020,3,2.0,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,14000,21.4,0.0,45.6
Alcohol and other drug-related hospitalisations,Hallucinogens,Flinders and Upper North LHN,2021-22,2021,3,1.67,SEIFA quintile,Persons,All ages,All,Q2,All,14168,21.2,0.0,45.2
Alcohol and other drug-related hospitalisations,Hallucinogens,Flinders and Upper North LHN,2021-22,2021,2,1.0,SEIFA quintile,Persons,All ages,All,Q3,All,14168,14.1,0.0,33.7
Alcohol and other drug-related hospitalisations,Hallucinogens,Flinders and Upper North LHN,2021-22,2021,1,1.0,SEIFA quintile,Persons,All ages,All,Q4,All,14168,7.1,0.0,20.9
Alcohol and other drug-related hospitalisations,Hallucinogens,Flinders and Upper North LHN,2022-23,2022,1,3.0,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,14338,7.0,0.0,20.7
Alcohol and other drug-related hospitalisations,Hallucinogens,Flinders and Upper North LHN,2022-23,2022,2,1.0,SEIFA quintile,Persons,All ages,All,Q2,All,14338,13.9,0.0,33.2
Alcohol and other drug-related hospitalisations,Hallucinogens,Flinders and Upper North LHN,2022-23,2022,1,1.0,SEIFA quintile,Persons,All ages,All,Q3,All,14338,7.0,0.0,20.7
Alcohol and other drug-related hospitalisations,Hallucinogens,Flinders and Upper North LHN,2022-23,2022,1,1.0,SEIFA quintile,Persons,All ages,All,Q4,All,14338,7.0,0.0,20.7
Alcohol and other drug-related hospitalisations,Hallucinogens,Flinders and Upper North LHN,2022-23,2022,1,1.0,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,14338,7.0,0.0,20.7
Alcohol and other drug-related hospitalisations,Hallucinogens,Flinders and Upper North LHN,2023-24,2023,1,2.0,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,14510,6.9,0.0,20.4
Alcohol and other drug-related hospitalisations,Hallucinogens,Flinders and Upper North LHN,2023-24,2023,4,3.25,SEIFA quintile,Persons,All ages,All,Q2,All,14510,27.6,0.6,54.6
Alcohol and other drug-related hospitalisations,Hallucinogens,Flinders and Upper North LHN,2023-24,2023,1,1.0,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,14510,6.9,0.0,20.4
Alcohol and other drug-related hospitalisations,Hallucinogens,Flinders and Upper North LHN,2024-25,2024,1,2.0,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,14684,6.8,0.0,20.1
Alcohol and other drug-related hospitalisations,Hallucinogens,Flinders and Upper North LHN,2024-25,2024,3,1.0,SEIFA quintile,Persons,All ages,All,Q2,All,14684,20.4,0.0,43.5
Alcohol and other drug-related hospitalisations,Hallucinogens,Flinders and Upper North LHN,2024-25,2024,3,1.0,SEIFA quintile,Persons,All ages,All,Q4,All,14684,20.4,0.0,43.5
Alcohol and other drug-related hospitalisations,Hallucinogens,Limestone Coast LHN,2020-21,2020,2,1.0,SEIFA quintile,Persons,All ages,All,Q2,All,13000,15.4,0.0,36.7
Alcohol and other drug-related hospitalisations,Hallucinogens,Limestone Coast LHN,2021-22,2021,1,1.0,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,13156,7.6,0.0,22.5
Alcohol and other drug-related hospitalisations,Hallucinogens,Limestone Coast LHN,2021-22,2021,1,9.0,SEIFA quintile,Persons,All ages,All,Q4,All,13156,7.6,0.0,22.5
Alcohol and other drug-related hospitalisations,Hallucinogens,Limestone Coast LHN,2022-23,2022,1,1.0,SEIFA quintile,Persons,All ages,All,Q2,All,13313,7.5,0.0,22.2
Alcohol and other drug-related hospitalisations,Hallucinogens,Limestone Coast LHN,2022-23,2022,1,1.0,SEIFA quintile,Persons,All ages,All,Q4,All,13313,7.5,0.0,22.2
Alcohol and other drug-related hospitalisations,Hallucinogens,Limestone Coast LHN,2023-24,2023,1,1.0,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,13473,7.4,0.0,21.9
Alcohol and other drug-related hospitalisations,Hallucinogens,Limestone Coast LHN,2023-24,2023,1,1.0,SEIFA quintile,Persons,All ages,All,Q2,All,13473,7.4,0.0,21.9
Alcohol and other drug-related hospitalisations,Hallucinogens,Limestone Coast LHN,2023-24,2023,1,1.0,SEIFA quintile,Persons,All ages,All,Q4,All,13473,7.4,0.0,21.9
Alcohol and other drug-related hospitalisations,Hallucinogens,Limestone Coast LHN,2024-25,2024,1,1.0,SEIFA quintile,Persons,All ages,All,Q3,All,13635,7.3,0.0,21.7
Alcohol and other drug-related hospitalisations,Hallucinogens,Limestone Coast LHN,2024-25,2024,1,1.0,SEIFA quintile,Persons,All ages,All,Q4,All,13635,7.3,0.0,21.7
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2020-21,2020,3,1.0,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,84000,3.6,0.0,7.6
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2020-21,2020,10,1.5,SEIFA quintile,Persons,All ages,All,Q2,All,84000,11.9,4.5,19.3
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2020-21,2020,7,1.29,SEIFA quintile,Persons,All ages,All,Q3,All,84000,8.3,2.1,14.5
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2020-21,2020,8,1.5,SEIFA quintile,Persons,All ages,All,Q4,All,84000,9.5,2.9,16.1
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2020-21,2020,8,2.0,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,84000,9.5,2.9,16.1
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2021-22,2021,4,2.0,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,85008,4.7,0.1,9.3
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2021-22,2021,12,1.92,SEIFA quintile,Persons,All ages,All,Q2,All,85008,14.1,6.1,22.1
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2021-22,2021,10,1.6,SEIFA quintile,Persons,All ages,All,Q3,All,85008,11.8,4.5,19.1
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2021-22,2021,7,1.14,SEIFA quintile,Persons,All ages,All,Q4,All,85008,8.2,2.1,14.3
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2021-22,2021,7,1.57,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,85008,8.2,2.1,14.3
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2022-23,2022,3,1.67,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,86028,3.5,0.0,7.4
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2022-23,2022,11,1.45,SEIFA quintile,Persons,All ages,All,Q2,All,86028,12.8,5.2,20.4
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2022-23,2022,7,1.14,SEIFA quintile,Persons,All ages,All,Q3,All,86028,8.1,2.1,14.1
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2022-23,2022,12,1.92,SEIFA quintile,Persons,All ages,All,Q4,All,86028,13.9,6.0,21.8
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2022-23,2022,12,1.42,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,86028,13.9,6.0,21.8
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2023-24,2023,9,1.33,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,87060,10.3,3.5,17.1
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2023-24,2023,8,1.5,SEIFA quintile,Persons,All ages,All,Q2,All,87060,9.2,2.8,15.6
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2023-24,2023,17,1.35,SEIFA quintile,Persons,All ages,All,Q3,All,87060,19.5,10.2,28.8
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2023-24,2023,10,1.6,SEIFA quintile,Persons,All ages,All,Q4,All,87060,11.5,4.4,18.6
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2023-24,2023,8,1.25,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,87060,9.2,2.8,15.6
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2024-25,2024,12,1.42,SEIFA quintile,Persons,All ages,All,Q2,All,88105,13.6,5.9,21.3
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2024-25,2024,16,1.06,SEIFA quintile,Persons,All ages,All,Q3,All,88105,18.2,9.3,27.1
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2024-25,2024,6,1.67,SEIFA quintile,Persons,All ages,All,Q4,All,88105,6.8,1.4,12.2
Alcohol and other drug-related hospitalisations,Hallucinogens,Northern Adelaide LHN,2024-25,2024,8,1.25,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,88105,9.1,2.8,15.4
Alcohol and other drug-related hospitalisations,Hallucinogens,Riverland Mallee Coorong LHN,2020-21,2020,1,2.0,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,14000,7.1,0.0,21.1
Alcohol and other drug-related hospitalisations,Hallucinogens,Riverland Mallee Coorong LHN,2020-21,2020,3,2.0,SEIFA quintile,Persons,All ages,All,Q3,All,14000,21.4,0.0,45.6
Alcohol and other drug-related hospitalisations,Hallucinogens,Riverland Mallee Coorong LHN,2020-21,2020,1,3.0,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,14000,7.1,0.0,21.1
Alcohol and other drug-related hospitalisations,Hallucinogens,Riverland Mallee Coorong LHN,2021-22,2021,4,1.75,SEIFA quintile,Persons,All ages,All,Q2,All,14168,28.2,0.5,55.9
Alcohol and other drug-related hospitalisations,Hallucinogens,Riverland Mallee Coorong LHN,2022-23,2022,1,1.0,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,14338,7.0,0.0,20.7
Alcohol and other drug-related hospitalisations,Hallucinogens,Riverland Mallee Coorong LHN,2022-23,2022,3,1.33,SEIFA quintile,Persons,All ages,All,Q3,All,14338,20.9,0.0,44.6
Alcohol and other drug-related hospitalisations,Hallucinogens,Riverland Mallee Coorong LHN,2022-23,2022,1,1.0,SEIFA quintile,Persons,All ages,All,Q4,All,14338,7.0,0.0,20.7
Alcohol and other drug-related hospitalisations,Hallucinogens,Riverland Mallee Coorong LHN,2023-24,2023,3,1.0,SEIFA quintile,Persons,All ages,All,Q3,All,14510,20.7,0.0,44.1
Alcohol and other drug-related hospitalisations,Hallucinogens,Riverland Mallee Coorong LHN,2023-24,2023,1,1.0,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,14510,6.9,0.0,20.4
Alcohol and other drug-related hospitalisations,Hallucinogens,Riverland Mallee Coorong LHN,2024-25,2024,1,1.0,SEIFA quintile,Persons,All ages,All,Q3,All,14684,6.8,0.0,20.1
Alcohol and other drug-related hospitalisations,Hallucinogens,Riverland Mallee Coorong LHN,2024-25,2024,1,1.0,SEIFA quintile,Persons,All ages,All,Q4,All,14684,6.8,0.0,20.1
Alcohol and other drug-related hospitalisations,Hallucinogens,Riverland Mallee Coorong LHN,2024-25,2024,1,1.0,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,14684,6.8,0.0,20.1
Alcohol and other drug-related hospitalisations,Hallucinogens,South Australia (All LHNs),2020-21,2020,18,2.28,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,362000,5.0,2.7,7.3
Alcohol and other drug-related hospitalisations,Hallucinogens,South Australia (All LHNs),2020-21,2020,36,2.19,SEIFA quintile,Persons,All ages,All,Q2,All,362000,9.9,6.7,13.1
Alcohol and other drug-related hospitalisations,Hallucinogens,South Australia (All LHNs),2020-21,2020,39,1.33,SEIFA quintile,Persons,All ages,All,Q3,All,362000,10.8,7.4,14.2
Alcohol and other drug-related hospitalisations,Hallucinogens,South Australia (All LHNs),2020-21,2020,23,1.3,SEIFA quintile,Persons,All ages,All,Q4,All,362000,6.4,3.8,9.0
Alcohol and other drug-related hospitalisations,Hallucinogens,South Australia (All LHNs),2020-21,2020,33,1.61,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,362000,9.1,6.0,12.2
Alcohol and other drug-related hospitalisations,Hallucinogens,South Australia (All LHNs),2021-22,2021,12,1.75,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,366344,3.3,1.4,5.2
Alcohol and other drug-related hospitalisations,Hallucinogens,South Australia (All LHNs),2021-22,2021,40,1.92,SEIFA quintile,Persons,All ages,All,Q2,All,366344,10.9,7.5,14.3
Alcohol and other drug-related hospitalisations,Hallucinogens,South Australia (All LHNs),2021-22,2021,45,1.47,SEIFA quintile,Persons,All ages,All,Q3,All,366344,12.3,8.7,15.9
Alcohol and other drug-related hospitalisations,Hallucinogens,South Australia (All LHNs),2021-22,2021,22,1.64,SEIFA quintile,Persons,All ages,All,Q4,All,366344,6.0,3.5,8.5
Alcohol and other drug-related hospitalisations,Hallucinogens,South Australia (All LHNs),2021-22,2021,23,1.22,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,366344,6.3,3.7,8.9
Alcohol and other drug-related hospitalisations,Hallucinogens,South Australia (All LHNs),2022-23,2022,16,1.44,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,370740,4.3,2.2,6.4
Alcohol and other drug-related hospitalisations,Hallucinogens,South Australia (All LHNs),2022-23,2022,36,1.22,SEIFA quintile,Persons,All ages,All,Q2,All,370740,9.7,6.5,12.9
Alcohol and other drug-related hospitalisations,Hallucinogens,South Australia (All LHNs),2022-23,2022,40,1.8,SEIFA quintile,Persons,All ages,All,Q3,All,370740,10.8,7.5,14.1
Alcohol and other drug-related hospitalisations,Hallucinogens,South Australia (All LHNs),2022-23,2022,37,1.62,SEIFA quintile,Persons,All ages,All,Q4,All,370740,10.0,6.8,13.2
Alcohol and other drug-related hospitalisations,Hallucinogens,South Australia (All LHNs),2022-23,2022,28,1.36,SEIFA quintile,Persons,All ages,All,Q5 - least disadvantaged,All,370740,7.6,4.8,10.4
Alcohol and other drug-related hospitalisations,Hallucinogens,South Australia (All LHNs),2023-24,2023,14,1.29,SEIFA quintile,Persons,All ages,All,Q1 - most disadvantaged,All,375189,3.7,1.7,5.7
Alcohol and other drug-related hospitalisations,Hallucinogens,South Australia (All LHNs),2023-24,2023,32,1.59,SEIFA quintile,Persons,All ages,All,Q2,All,375189,8.5,5.5,11.5
